forecastdate,state,voteshareDFcst,voteshareRFcst,marginFcst,voteshareDActl,voteshareRActl,marginActl,marginMiss,marginFcst22Deluxe,marginFcst22Classic,marginFcst22Lite
10/13/2018,AZ,42.98,54.89,-11.9,41.8,56.0,-14.2,-2.3,-0.0,0.2,0.5
10/13/2018,OR,51.94,42.6,9.3,50.1,43.8,6.3,-3.0,0.0,0.3,-0.9
10/13/2018,NV,48.45,48.63,-0.2,49.4,45.3,4.1,4.3,0.7,1.4,-0.5
10/13/2018,WI,49.36,47.24,2.1,49.9,48.2,1.7,-0.4,1.4,2.4,0.9
10/13/2018,KS,42.81,45.43,-2.6,48.0,43.0,5.0,7.6,2.6,4.2,5.2
10/13/2018,GA,49.03,49.71,-0.7,48.8,50.2,-1.4,-0.7,-6.2,-6.0,-5.3
10/13/2018,NM,53.61,46.39,7.2,57.2,42.8,14.4,7.2,8.1,9.0,8.8
10/13/2018,ME,54.15,43.85,10.3,50.9,43.2,7.7,-2.6,9.3,10.9,10.8
10/13/2018,FL,50.42,47.0,3.4,49.2,49.6,-0.4,-3.8,-9.6,-8.0,-7.1
10/13/2018,PA,56.95,40.99,16.0,57.8,40.7,17.1,1.1,9.9,10.0,10.2
10/13/2018,MN,54.93,42.56,12.4,53.9,42.4,11.5,-0.9,10.5,10.0,9.1
10/13/2018,MI,54.15,42.75,11.4,53.3,43.7,9.6,-1.8,10.6,11.5,10.5
10/13/2018,TX,39.65,58.41,-18.8,42.5,55.8,-13.3,5.5,-10.7,-7.7,-6.6
10/13/2018,OK,45.86,52.31,-6.5,42.2,54.3,-12.1,-5.6,-12.4,-12.3,-6.9
10/13/2018,CT,52.38,45.14,7.2,48.1,44.4,3.7,-3.5,14.1,13.5,14.8
10/13/2018,SC,43.98,56.02,-12.0,45.9,54.0,-8.1,3.9,-15.0,-9.9,-7.5
10/13/2018,RI,55.87,36.57,19.3,52.6,37.2,15.4,-3.9,15.1,13.2,13.5
10/13/2018,AK,29.07,41.12,-12.0,44.5,51.5,-7.0,5.0,-15.9,-15.7,-17.0
10/13/2018,NE,38.65,61.35,-22.7,41.0,59.0,-18.0,4.7,-16.4,-12.5,-3.9
10/13/2018,NH,40.52,57.21,-16.7,45.7,52.8,-7.1,9.6,-16.9,-13.3,-15.8
10/13/2018,CO,53.8,43.52,10.3,53.4,42.8,10.6,0.3,17.2,14.7,15.3
10/13/2018,IL,53.72,41.21,12.5,54.5,38.8,15.7,3.2,17.8,15.8,14.5
10/13/2018,OH,48.22,49.77,-1.6,46.7,50.4,-3.7,-2.1,-18.9,-16.9,-16.7
10/13/2018,SD,43.45,54.35,-10.9,47.6,51.0,-3.4,7.5,-19.9,-18.4,-11.3
10/13/2018,AR,33.57,63.97,-30.4,31.8,65.3,-33.5,-3.1,-20.6,-19.4,-16.9
10/13/2018,MA,35.29,64.71,-29.4,33.2,66.8,-33.6,-4.2,21.7,22.8,21.7
10/13/2018,MD,39.63,57.37,-17.7,43.5,55.4,-11.9,5.8,22.5,23.7,26.6
10/13/2018,CA,58.78,41.22,17.6,61.9,38.1,23.8,6.2,23.8,23.5,22.7
10/13/2018,VT,39.74,53.45,-13.7,40.4,55.4,-15.0,-1.3,-23.8,-23.3,-29.8
10/13/2018,HI,64.39,33.08,31.3,62.7,33.7,29.0,-2.3,26.5,26.5,18.1
10/13/2018,TN,39.74,54.07,-14.3,38.6,59.6,-21.0,-6.7,-26.6,-26.3,-25.9
10/13/2018,AL,41.4,58.6,-17.2,40.5,59.5,-19.0,-1.8,-31.0,-30.8,-25.9
10/13/2018,ID,39.21,54.31,-15.1,38.2,59.8,-21.6,-6.5,-34.1,-33.9,-30.7
10/13/2018,WY,35.27,60.17,-24.9,27.7,67.5,-39.8,-14.9,-41.5,-41.4,-36.3
